station_id,station_name,observation_time_utc,year,month,day,hour_utc,air_temp_c,air_temp_max_c,air_temp_min_c,relative_humidity_pct,vapor_pressure_hpa,dew_point_c,wind_speed_avg_ms,wind_speed_max_ms,wind_gust_max_ms,wind_dir_deg,wind_dir_cardinal,sea_level_pressure_hpa,precipitation_mm,road_surface_temp_c,road_surface_temp_max_c,road_surface_temp_min_c,ground_temp_c,ground_temp_min_c,turf_temp_5cm_c,turf_temp_10cm_c,turf_temp_15cm_c,turf_temp_20cm_c,turf_temp_50cm_c,turf_temp_100cm_c,global_radiation_wm2,global_radiation_max_wm2,shortwave_radiation_wm2,shortwave_radiation_max_wm2,sunshine_duration_s,sunshine_duration_max_s,longwave_in_radiation_wm2,longwave_in_radiation_max_wm2,longwave_out_radiation_wm2,longwave_out_radiation_max_wm2,uv_radiation_wm2,uv_radiation_max_wm2,sunshine_duration_min,measurement_count
1350,Keflavíkurflugvöllur,2026-08-04T22:00:00,2026,8,4,22,9.7,10.6,9.7,83.0,10.0,6.9,3.1,3.6,5.1,237,WSW,1017.8,,,,,,,,,,,,,,,,,,,,,,,,,,6
1475,Reykjavík - Bústaðavegur,2026-08-04T22:00:00,2026,8,4,22,10.2,10.7,10.1,,,,0.9,1.9,3.4,291,WNW,1017.5,,,,,,,,,,,,,,,,,,,,,,,,,,6
